epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5275.01,2.23674,1.32209,0.93164,0.6048,0.4127,0.45871,0.18277,2.14465,1.19666,0.90585,0.0005941,0.0005941,0.0005941
43,5381.97,2.23614,1.32171,0.93189,0.60411,0.41155,0.45435,0.17797,2.16131,1.2108,0.9067,0.0005842,0.0005842,0.0005842
44,5542.14,2.24355,1.32354,0.93097,0.6157,0.41148,0.46201,0.18375,2.14695,1.19009,0.90491,0.0005743,0.0005743,0.0005743
45,5640.36,2.22463,1.30188,0.9357,0.61413,0.41155,0.4582,0.18459,2.13418,1.19791,0.90485,0.0005644,0.0005644,0.0005644
46,5743.05,2.23513,1.31344,0.93045,0.60712,0.41716,0.46397,0.18414,2.1425,1.19615,0.90323,0.0005545,0.0005545,0.0005545
47,5874.75,2.21892,1.3055,0.93115,0.61657,0.42007,0.46559,0.1853,2.12862,1.20558,0.90088,0.0005446,0.0005446,0.0005446
48,5972.13,2.20092,1.29789,0.92869,0.61213,0.41742,0.46441,0.1849,2.13718,1.1873,0.90356,0.0005347,0.0005347,0.0005347
49,6072.28,2.20754,1.30064,0.92909,0.61535,0.414,0.46026,0.18391,2.13289,1.19134,0.90409,0.0005248,0.0005248,0.0005248
50,6205.24,2.2188,1.30076,0.9271,0.61818,0.41356,0.46495,0.18635,2.13029,1.18275,0.90303,0.0005149,0.0005149,0.0005149
51,6302.67,2.20198,1.28391,0.92962,0.61437,0.41521,0.46159,0.18649,2.14492,1.18636,0.90548,0.000505,0.000505,0.000505
52,6403.62,2.19402,1.27982,0.92887,0.62241,0.41578,0.46384,0.18687,2.12633,1.18188,0.90506,0.0004951,0.0004951,0.0004951
53,6551.14,2.20733,1.28606,0.92708,0.61205,0.42521,0.46826,0.18865,2.12194,1.18114,0.90244,0.0004852,0.0004852,0.0004852
54,6648.69,2.18978,1.27497,0.92282,0.60409,0.42344,0.466,0.18707,2.12628,1.18341,0.90269,0.0004753,0.0004753,0.0004753
55,6748.95,2.19701,1.27711,0.92892,0.61831,0.42036,0.47049,0.18847,2.11227,1.18457,0.90107,0.0004654,0.0004654,0.0004654
56,7127.81,2.18748,1.27079,0.92345,0.62293,0.41649,0.46872,0.18874,2.11253,1.17069,0.90106,0.0004555,0.0004555,0.0004555
57,7225.72,2.18586,1.27929,0.92133,0.62139,0.42497,0.47379,0.19178,2.10966,1.17318,0.89961,0.0004456,0.0004456,0.0004456
58,7324.15,2.16762,1.26015,0.9239,0.62046,0.41893,0.47002,0.18955,2.11702,1.17353,0.9009,0.0004357,0.0004357,0.0004357
59,8117.71,2.19326,1.26596,0.92215,0.61323,0.42438,0.47077,0.1894,2.11148,1.1773,0.90003,0.0004258,0.0004258,0.0004258
60,8217.35,2.16279,1.25914,0.92991,0.61687,0.42644,0.47359,0.18946,2.09762,1.1786,0.89862,0.0004159,0.0004159,0.0004159
61,8314.84,2.17578,1.26937,0.92231,0.62222,0.42838,0.47662,0.19282,2.1029,1.16996,0.89874,0.000406,0.000406,0.000406
62,8420.66,2.16983,1.25821,0.92155,0.62966,0.42321,0.47576,0.19177,2.09982,1.16878,0.89772,0.0003961,0.0003961,0.0003961
63,8518.56,2.16865,1.25801,0.91838,0.61784,0.42623,0.47721,0.1928,2.09786,1.16907,0.89734,0.0003862,0.0003862,0.0003862
64,8640.94,2.18078,1.25247,0.91965,0.62751,0.42301,0.47619,0.19357,2.08916,1.1643,0.89702,0.0003763,0.0003763,0.0003763
65,8752.49,2.16323,1.24743,0.92241,0.62008,0.4248,0.47666,0.19258,2.09163,1.16391,0.89634,0.0003664,0.0003664,0.0003664
66,8850.3,2.14869,1.24357,0.92436,0.62021,0.43081,0.47785,0.19337,2.09069,1.1644,0.8957,0.0003565,0.0003565,0.0003565
67,8952.01,2.15816,1.24273,0.91836,0.62038,0.43511,0.48037,0.19509,2.0812,1.16274,0.89433,0.0003466,0.0003466,0.0003466
68,9055.82,2.14146,1.23834,0.91589,0.63034,0.4253,0.48083,0.19554,2.09043,1.16249,0.89528,0.0003367,0.0003367,0.0003367
69,9153.87,2.15823,1.24167,0.91732,0.61891,0.42945,0.47924,0.19553,2.07636,1.16551,0.89495,0.0003268,0.0003268,0.0003268
70,9252.87,2.1415,1.23519,0.91618,0.62542,0.42995,0.48048,0.19527,2.07819,1.15927,0.89437,0.0003169,0.0003169,0.0003169
71,9388.62,2.15086,1.23743,0.91525,0.63176,0.43341,0.48433,0.19783,2.06994,1.15088,0.89443,0.000307,0.000307,0.000307
72,9486.56,2.14428,1.22147,0.91332,0.62751,0.4316,0.48237,0.19839,2.07438,1.14911,0.89532,0.0002971,0.0002971,0.0002971
73,9588.57,2.14648,1.23386,0.91521,0.62701,0.4326,0.4818,0.19746,2.07508,1.15352,0.89431,0.0002872,0.0002872,0.0002872
74,9694.48,2.14048,1.22501,0.91602,0.62942,0.43002,0.48259,0.19733,2.07893,1.15368,0.89516,0.0002773,0.0002773,0.0002773
75,9793.16,2.12973,1.22353,0.91527,0.63003,0.43131,0.48338,0.19804,2.07876,1.15127,0.89477,0.0002674,0.0002674,0.0002674
76,9891.59,2.14402,1.22922,0.91452,0.62697,0.43146,0.48363,0.19718,2.07487,1.15069,0.89399,0.0002575,0.0002575,0.0002575
77,9995.74,2.13465,1.21955,0.91531,0.62787,0.42967,0.48377,0.19807,2.07662,1.15031,0.89363,0.0002476,0.0002476,0.0002476
78,10095.5,2.12747,1.2118,0.91381,0.62867,0.43382,0.48558,0.19831,2.07232,1.14671,0.89434,0.0002377,0.0002377,0.0002377
79,10194.4,2.11814,1.20959,0.91652,0.63367,0.43274,0.48622,0.19843,2.06889,1.1462,0.89384,0.0002278,0.0002278,0.0002278
80,10303,2.11022,1.20393,0.91384,0.6273,0.43711,0.48735,0.1999,2.07491,1.14508,0.89401,0.0002179,0.0002179,0.0002179
81,10427.3,2.10657,1.2063,0.91063,0.62204,0.43718,0.4846,0.19821,2.07419,1.14622,0.8937,0.000208,0.000208,0.000208
82,10574.3,2.1131,1.21286,0.9149,0.63022,0.43289,0.48366,0.19874,2.06916,1.14681,0.89354,0.0001981,0.0001981,0.0001981
83,10762.5,2.1109,1.2008,0.90692,0.62411,0.43639,0.48738,0.20091,2.06599,1.14197,0.89317,0.0001882,0.0001882,0.0001882
84,10918.2,2.11462,1.20889,0.91166,0.61872,0.4389,0.48834,0.20042,2.06707,1.139,0.89232,0.0001783,0.0001783,0.0001783
85,11112.1,2.11158,1.20759,0.90897,0.63043,0.43067,0.48564,0.20038,2.06562,1.1427,0.89252,0.0001684,0.0001684,0.0001684
86,11268.1,2.09944,1.19404,0.90936,0.62463,0.43587,0.48617,0.19997,2.0688,1.14128,0.89211,0.0001585,0.0001585,0.0001585
87,11425,2.10027,1.1928,0.90964,0.61795,0.44034,0.48806,0.20133,2.06105,1.13881,0.89193,0.0001486,0.0001486,0.0001486
88,11583.6,2.09617,1.18916,0.91099,0.62307,0.44312,0.49088,0.20132,2.06166,1.14002,0.89203,0.0001387,0.0001387,0.0001387
89,11778.9,2.10284,1.19975,0.90639,0.62201,0.44199,0.49135,0.20202,2.05882,1.13732,0.89162,0.0001288,0.0001288,0.0001288
90,11948.1,2.09797,1.19361,0.90662,0.62173,0.43954,0.48922,0.20128,2.06333,1.1383,0.89208,0.0001189,0.0001189,0.0001189
91,12139.4,2.08602,1.21415,0.91067,0.62866,0.43518,0.48526,0.19861,2.06676,1.14439,0.89272,0.000109,0.000109,0.000109
92,12290.4,2.07016,1.19634,0.90652,0.6272,0.43317,0.4861,0.19825,2.06983,1.14455,0.89305,9.91e-05,9.91e-05,9.91e-05
93,12441.3,2.05474,1.18012,0.91069,0.6275,0.43305,0.48604,0.19803,2.06818,1.14324,0.89245,8.92e-05,8.92e-05,8.92e-05
94,12617.7,2.06828,1.19829,0.90562,0.63047,0.4341,0.48687,0.19829,2.068,1.14294,0.89278,7.93e-05,7.93e-05,7.93e-05
95,12945.7,2.05456,1.17845,0.90834,0.63254,0.43315,0.48713,0.19885,2.06919,1.14104,0.89221,6.94e-05,6.94e-05,6.94e-05
96,13044.3,2.0628,1.17979,0.90356,0.62805,0.43298,0.48591,0.19862,2.06685,1.14031,0.89195,5.95e-05,5.95e-05,5.95e-05
97,13146,2.06815,1.18217,0.90667,0.63562,0.43131,0.4861,0.19902,2.06627,1.13964,0.89197,4.96e-05,4.96e-05,4.96e-05
98,13245.8,2.04528,1.17451,0.90404,0.63889,0.43274,0.48773,0.1995,2.06541,1.13928,0.89141,3.97e-05,3.97e-05,3.97e-05
99,13453.2,2.03838,1.16777,0.90769,0.63326,0.43462,0.4879,0.19899,2.06763,1.13911,0.89197,2.98e-05,2.98e-05,2.98e-05
100,13556.2,2.02885,1.16483,0.905,0.63564,0.43348,0.48818,0.1993,2.0675,1.13708,0.89196,1.99e-05,1.99e-05,1.99e-05
